Date,Value,Ticker
14-11-19,1471.800048828125,GC=F
15-11-19,1467.300048828125,GC=F
18-11-19,1470.9000244140625,GC=F
19-11-19,1473.300048828125,GC=F
20-11-19,1473.300048828125,GC=F
21-11-19,1463.0999755859375,GC=F
22-11-19,1463.0999755859375,GC=F
25-11-19,1456.5999755859375,GC=F
26-11-19,1459.800048828125,GC=F
27-11-19,1453.4000244140625,GC=F
29-11-19,1465.5999755859375,GC=F
02-12-19,1462.300048828125,GC=F
03-12-19,1478.199951171875,GC=F
04-12-19,1474.0,GC=F
05-12-19,1476.9000244140625,GC=F
06-12-19,1459.0999755859375,GC=F
09-12-19,1459.300048828125,GC=F
10-12-19,1462.5999755859375,GC=F
11-12-19,1469.4000244140625,GC=F
12-12-19,1466.699951171875,GC=F
13-12-19,1475.5999755859375,GC=F
16-12-19,1475.0,GC=F
17-12-19,1474.5999755859375,GC=F
18-12-19,1472.5999755859375,GC=F
19-12-19,1478.199951171875,GC=F
20-12-19,1474.699951171875,GC=F
23-12-19,1482.5,GC=F
24-12-19,1499.0999755859375,GC=F
26-12-19,1509.300048828125,GC=F
27-12-19,1513.800048828125,GC=F
30-12-19,1514.5,GC=F
31-12-19,1519.5,GC=F
02-01-20,1524.5,GC=F
03-01-20,1549.199951171875,GC=F
06-01-20,1566.199951171875,GC=F
07-01-20,1571.800048828125,GC=F
08-01-20,1557.4000244140625,GC=F
09-01-20,1551.699951171875,GC=F
10-01-20,1557.5,GC=F
13-01-20,1548.4000244140625,GC=F
14-01-20,1542.4000244140625,GC=F
15-01-20,1552.0999755859375,GC=F
16-01-20,1549.0,GC=F
17-01-20,1558.800048828125,GC=F
21-01-20,1556.4000244140625,GC=F
22-01-20,1555.300048828125,GC=F
23-01-20,1564.5999755859375,GC=F
24-01-20,1571.0999755859375,GC=F
27-01-20,1576.800048828125,GC=F
28-01-20,1569.199951171875,GC=F
29-01-20,1569.800048828125,GC=F
30-01-20,1583.5,GC=F
31-01-20,1582.9000244140625,GC=F
03-02-20,1577.199951171875,GC=F
04-02-20,1550.4000244140625,GC=F
05-02-20,1557.800048828125,GC=F
06-02-20,1565.0999755859375,GC=F
07-02-20,1568.5999755859375,GC=F
10-02-20,1574.699951171875,GC=F
11-02-20,1565.5999755859375,GC=F
12-02-20,1567.4000244140625,GC=F
13-02-20,1575.0999755859375,GC=F
14-02-20,1582.699951171875,GC=F
18-02-20,1600.0,GC=F
19-02-20,1607.5,GC=F
20-02-20,1616.5999755859375,GC=F
21-02-20,1644.5999755859375,GC=F
24-02-20,1672.4000244140625,GC=F
25-02-20,1646.9000244140625,GC=F
26-02-20,1640.0,GC=F
27-02-20,1640.0,GC=F
28-02-20,1564.0999755859375,GC=F
02-03-20,1592.300048828125,GC=F
03-03-20,1642.0999755859375,GC=F
04-03-20,1641.0999755859375,GC=F
05-03-20,1666.4000244140625,GC=F
06-03-20,1670.800048828125,GC=F
09-03-20,1674.5,GC=F
10-03-20,1659.0999755859375,GC=F
11-03-20,1641.4000244140625,GC=F
12-03-20,1589.300048828125,GC=F
13-03-20,1515.699951171875,GC=F
16-03-20,1485.9000244140625,GC=F
17-03-20,1524.9000244140625,GC=F
18-03-20,1477.300048828125,GC=F
19-03-20,1478.5999755859375,GC=F
20-03-20,1484.0,GC=F
23-03-20,1567.0,GC=F
24-03-20,1660.199951171875,GC=F
25-03-20,1632.300048828125,GC=F
26-03-20,1650.0999755859375,GC=F
27-03-20,1623.9000244140625,GC=F
30-03-20,1622.0,GC=F
31-03-20,1583.4000244140625,GC=F
01-04-20,1578.199951171875,GC=F
02-04-20,1625.699951171875,GC=F
03-04-20,1633.699951171875,GC=F
06-04-20,1677.0,GC=F
07-04-20,1664.800048828125,GC=F
08-04-20,1665.4000244140625,GC=F
09-04-20,1736.199951171875,GC=F
13-04-20,1744.800048828125,GC=F
14-04-20,1756.699951171875,GC=F
15-04-20,1727.199951171875,GC=F
16-04-20,1720.4000244140625,GC=F
17-04-20,1689.199951171875,GC=F
20-04-20,1701.5999755859375,GC=F
21-04-20,1678.199951171875,GC=F
22-04-20,1728.699951171875,GC=F
23-04-20,1733.300048828125,GC=F
24-04-20,1723.5,GC=F
27-04-20,1711.9000244140625,GC=F
28-04-20,1710.5,GC=F
29-04-20,1703.4000244140625,GC=F
30-04-20,1684.199951171875,GC=F
01-05-20,1694.5,GC=F
04-05-20,1706.9000244140625,GC=F
05-05-20,1704.4000244140625,GC=F
06-05-20,1684.199951171875,GC=F
07-05-20,1721.800048828125,GC=F
08-05-20,1709.9000244140625,GC=F
11-05-20,1695.300048828125,GC=F
12-05-20,1704.4000244140625,GC=F
13-05-20,1713.9000244140625,GC=F
14-05-20,1738.0999755859375,GC=F
15-05-20,1753.4000244140625,GC=F
18-05-20,1731.800048828125,GC=F
19-05-20,1744.199951171875,GC=F
20-05-20,1750.5999755859375,GC=F
21-05-20,1720.5,GC=F
22-05-20,1734.5999755859375,GC=F
26-05-20,1704.800048828125,GC=F
27-05-20,1710.300048828125,GC=F
28-05-20,1713.300048828125,GC=F
29-05-20,1736.9000244140625,GC=F
01-06-20,1737.800048828125,GC=F
02-06-20,1725.199951171875,GC=F
03-06-20,1697.800048828125,GC=F
04-06-20,1718.9000244140625,GC=F
05-06-20,1676.199951171875,GC=F
08-06-20,1698.300048828125,GC=F
09-06-20,1714.699951171875,GC=F
10-06-20,1713.300048828125,GC=F
11-06-20,1732.0,GC=F
12-06-20,1729.300048828125,GC=F
15-06-20,1720.300048828125,GC=F
16-06-20,1729.5999755859375,GC=F
17-06-20,1729.199951171875,GC=F
18-06-20,1724.800048828125,GC=F
19-06-20,1745.9000244140625,GC=F
22-06-20,1756.699951171875,GC=F
23-06-20,1772.0999755859375,GC=F
24-06-20,1765.800048828125,GC=F
25-06-20,1762.0999755859375,GC=F
26-06-20,1772.5,GC=F
29-06-20,1774.800048828125,GC=F
30-06-20,1793.0,GC=F
01-07-20,1773.199951171875,GC=F
02-07-20,1784.0,GC=F
06-07-20,1788.5,GC=F
07-07-20,1804.199951171875,GC=F
08-07-20,1815.5,GC=F
09-07-20,1799.199951171875,GC=F
